Original,Actual
JHC Venman,Anonymous
F.A. Snellaert,Anonymous
M.A. Brandts-Buys,Anonymous
Jb. Kwast,Anonymous
Florimond van Duyse,Anonymous
C.P.E. Robidé van der Aa,Anonymous
"J. Veldkamp et K. de Boer, J. Veldkamp, ​​K. de Boer",Anonymous
"AJ Dekker, Marie van Dijk",Anonymous
"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa",Anonymous
"AJ Dekker, Ernst Heins, Marie van Dijk, Henk Kuijer",Anonymous
JF Willems,Anonymous
Jacob Carel Willem le Jeune,Anonymous
Jacob Coenraetsz Meyvogel,Jacob Coenraetsz Mayvogel
"F. Pitton, F.Pitton",F. Pitton
"Volkerus van Oosterwyck, Volckerus van Oosterwyck",Volkerus van Oosterwyck
Philips van Marnix van Sint Aldegonde,Philips van Marnix
"Karel van Beer Mander, samensteller Karel van Mander",Karel van Mander
"Alle Dercks, samensteller Alle Dercks",Alle Dercks
anoniem,Anonymous
anonymous,Anonymous
"xFrançois Halma, François Halma",François halma